url_length,dot_count,has_at_symbol,has_https,has_sensitive_word,is_suspicious_tld,has_hyphens,is_known_legit,is_known_brand,label
4.442651256490317,2,0,1,0,0,1,0,0,0
4.276666119016055,2,0,0,0,0,0,0,0,0
3.4657359027997265,2,0,0,0,0,1,0,0,1
4.983606621708336,6,0,0,1,0,0,0,1,1
3.5553480614894135,1,0,0,0,0,1,0,0,0
3.295836866004329,2,0,1,0,0,0,0,0,1
3.4011973816621555,2,0,1,0,0,0,0,0,1
4.51085950651685,6,0,0,0,0,1,0,1,1
2.302585092994046,1,0,0,0,0,0,0,0,0
2.772588722239781,1,0,0,0,0,0,0,0,0
3.1780538303479458,1,0,0,0,0,0,0,0,1
3.828641396489095,1,0,0,0,0,1,0,1,0
2.70805020110221,1,0,0,0,0,0,0,0,1
3.295836866004329,2,0,0,0,0,1,0,0,1
3.332204510175204,1,0,0,0,0,0,0,0,0
3.6375861597263857,3,0,0,0,0,0,0,0,0
3.828641396489095,2,0,0,0,0,1,0,1,0
3.8501476017100584,1,0,0,0,0,0,0,0,0
4.060443010546419,3,0,0,0,0,1,0,0,0
3.6888794541139363,2,0,1,0,0,1,0,0,1
3.332204510175204,2,0,0,0,0,0,0,0,0
3.4657359027997265,1,0,0,0,0,0,0,1,0
3.2188758248682006,1,0,0,0,0,0,0,0,1
3.6375861597263857,2,0,0,0,0,0,0,0,1
4.23410650459726,2,0,0,0,0,0,0,0,0
3.4965075614664802,2,0,0,0,0,0,0,0,1
5.545177444479562,15,0,0,0,0,0,0,1,1
4.442651256490317,3,0,0,0,0,1,0,0,0
4.189654742026425,2,1,0,0,0,0,0,0,1
3.6109179126442243,1,0,0,0,0,0,0,0,0
3.2188758248682006,2,0,0,0,0,0,0,0,0
5.44673737166631,2,0,0,0,0,1,0,0,0
4.110873864173311,6,0,0,1,0,0,0,0,1
3.7376696182833684,2,0,0,0,0,0,0,0,0
3.6635616461296463,4,0,0,0,0,1,0,0,1
3.4339872044851463,1,0,0,0,0,1,0,0,0
